BlockNumber	SequenceNumber	EventNumber	Time	isHit	target	pressed	sequence
1	1	1	1831	1	4	4	0
1	1	2	2552	1	1	1	0
1	1	3	4483	1	3	3	0
1	1	4	5219	1	2	2	0
1	1	5	6081	1	4	4	0
1	2	1	2219	1	4	4	0
1	2	2	2785	1	1	1	0
1	2	3	3545	1	3	3	0
1	2	4	4118	1	2	2	0
1	2	5	4727	1	4	4	0
1	3	1	756	1	4	4	0
1	3	2	1535	1	1	1	0
1	3	3	2354	1	3	3	0
1	3	4	2936	1	2	2	0
1	3	5	4535	1	4	4	0
1	4	1	902	1	4	4	0
1	4	2	1556	1	1	1	0
1	4	3	2748	1	3	3	0
1	4	4	3330	1	2	2	0
1	4	5	4485	1	4	4	0
1	5	1	800	1	4	4	0
1	5	2	1351	1	1	1	0
1	5	3	2150	1	3	3	0
1	5	4	2898	1	2	2	0
1	5	5	4153	1	4	4	0
1	6	1	432	1	4	4	0
1	6	2	1015	1	1	1	0
1	6	3	1814	1	3	3	0
1	6	4	2377	1	2	2	0
1	6	5	3412	1	4	4	0
2	7	1	1247	1	4	4	0
2	7	2	1933	1	1	1	0
2	7	3	2651	1	3	3	0
2	7	4	3165	1	2	2	0
2	7	5	3913	1	4	4	0
2	8	1	405	1	4	4	0
2	8	2	1034	1	1	1	0
2	8	3	1565	1	3	3	0
2	8	4	2084	1	2	2	0
2	8	5	2650	1	4	4	0
2	9	1	435	1	4	4	0
2	9	2	1117	1	1	1	0
2	9	3	1670	1	3	3	0
2	9	4	2240	1	2	2	0
2	9	5	2886	1	4	4	0
2	10	1	385	1	4	4	0
2	10	2	1104	1	1	1	0
2	10	3	1717	1	3	3	0
2	10	4	2064	1	2	2	0
2	10	5	2816	1	4	4	0
2	11	1	422	1	4	4	0
2	11	2	1135	1	1	1	0
2	11	3	1684	1	3	3	0
2	11	4	2196	1	2	2	0
2	11	5	2749	1	4	4	0
2	12	1	336	1	4	4	0
2	12	2	1036	1	1	1	0
2	12	3	1470	1	3	3	0
2	12	4	1801	1	2	2	0
2	12	5	2436	1	4	4	0
2	13	1	300	1	4	4	0
2	13	2	843	1	1	1	0
2	13	3	1434	1	3	3	0
2	13	4	1733	1	2	2	0
2	13	5	2500	1	4	4	0
2	14	1	297	1	4	4	0
2	14	2	917	1	1	1	0
2	14	3	1470	1	3	3	0
2	14	4	1770	1	2	2	0
2	14	5	2656	1	4	4	0
2	15	1	324	1	4	4	0
2	15	2	1054	1	1	1	0
2	15	3	1660	1	3	3	0
2	15	4	2226	1	2	2	0
2	15	5	3224	1	4	4	0
2	16	1	235	1	4	4	0
2	16	2	920	1	1	1	0
2	16	3	1525	1	3	3	0
2	16	4	1852	1	2	2	0
2	16	5	2634	1	4	4	0
3	17	1	1044	1	4	4	0
3	17	2	1718	1	1	1	0
3	17	3	2312	1	3	3	0
3	17	4	2717	1	2	2	0
3	17	5	3330	1	4	4	0
3	18	1	299	1	4	4	0
3	18	2	870	1	1	1	0
3	18	3	1338	1	3	3	0
3	18	4	1772	1	2	2	0
3	18	5	2238	1	4	4	0
3	19	1	279	1	4	4	0
3	19	2	778	1	1	1	0
3	19	3	1214	1	3	3	0
3	19	4	1718	1	2	2	0
3	19	5	2147	1	4	4	0
3	20	1	410	1	4	4	0
3	20	2	886	1	1	1	0
3	20	3	1325	1	3	3	0
3	20	4	1784	1	2	2	0
3	20	5	2211	1	4	4	0
3	21	1	254	1	4	4	0
3	21	2	841	1	1	1	0
3	21	3	1440	1	3	3	0
3	21	4	1795	1	2	2	0
3	21	5	2316	1	4	4	0
3	22	1	463	1	4	4	0
3	22	2	1233	1	1	1	0
3	22	3	1733	1	3	3	0
3	22	4	2137	1	2	2	0
3	22	5	2650	1	4	4	0
3	23	1	204	1	4	4	0
3	23	2	1030	1	1	1	0
3	23	3	1570	1	3	3	0
3	23	4	1900	1	2	2	0
3	23	5	2467	1	4	4	0
3	24	1	338	1	4	4	0
3	24	2	1187	1	1	1	0
3	24	3	1685	1	3	3	0
3	24	4	2332	1	2	2	0
3	24	5	2919	1	4	4	0
3	25	1	396	1	4	4	0
3	25	2	1118	1	1	1	0
3	25	3	1531	1	3	3	0
3	25	4	2021	1	2	2	0
3	25	5	2576	1	4	4	0
3	26	1	358	1	4	4	0
3	26	2	1513	1	1	1	0
3	26	3	2043	1	3	3	0
3	26	4	2425	1	2	2	0
3	26	5	2893	1	4	4	0
3	27	1	331	1	4	4	0
3	27	2	1030	1	1	1	0
3	27	3	1478	1	3	3	0
3	27	4	1959	1	2	2	0
3	27	5	2348	1	4	4	0
4	28	1	839	1	4	4	0
4	28	2	1470	1	1	1	0
4	28	3	1857	1	3	3	0
4	28	4	2288	1	2	2	0
4	28	5	2829	1	4	4	0
4	29	1	310	1	4	4	0
4	29	2	709	1	1	1	0
